0,Passenger Plate Default,Tennessee,,,Does not use the Letter “O” on their standard license plates. Both the Letter “O” and Number Zero “0” are used on our Specialty Tags and Temporary Operating Permits.,,,,,"*FLAT designated plates are printed, not pressed.",,
,Maryville College,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Masonic Lodge,,,,Y,N,N,N,Y,Y- Masonic logo at left of plate; 'MASON' on bottom.,N,N
,Medal of Honor,,,,Y,N,N,N,Y,Y- Medal logo at right of plate.,N,N
,Memphis Grizzlies,2015-2017,Since 2018,,Y,N,N,N,Y,Y- Team logo at left of plate.,N,N
,Methodist Le Bonheur Healthcare,,,,Y,N,N,N,Y,Y- Organization logo at left of plate.,N,N
,Middle Tennessee State University,2003-2009,Since 2010,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Military,2003-2007,2008,Since 2009,Y,N,N,N,Y,Y- Branch & Status appear at left of plate.,N,N
,Milligan University,Milligan Univ,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Mississippi State University,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Motorcycle,,,,Y,N,N,N,Y,Y - Smaller plate size.,Y - Motorcycle,N
,Motorcycle (Veteran),Air Medal,Op. Enduring Freedom,Op. Iraqi Freedom,Y,N,N,N,Y,Y - Smaller plate size.,Y- Motorcycle,N
,Motorcycle (Veteran),Op. New Dawn,Purple Heart,Army,Y,N,N,N,Y,Y - Smaller plate size.,N,N
,Motorcycle (Veteran),Navy Retired,Navy,Vietnam,Y,N,N,N,Y,Y - Smaller plate size.,N,N
,Nashville Predators,,,,Y,N,N,N,Y,Y- Team logo at right of plate.,N,N
,National Champions,Pressed,Flat,,Y,N,N,N,Y,N,N,N
,National Guard,2002-2005,Since 2006,,Y,N,N,N,Y,Y- Branch logo at left of plate.,N,N
,National Rifle Association,,,,Y,N,N,N,Y,Y- Organization logo at center of plate.,N,N
,National Wild Turkey Federation,,,,Y,N,N,N,Y,Y- Organization logo at left of plate.,N,N
,Navy Cross,,,,Y,N,N,N,Y,Y- Medal logo at left of plate.,N,N
,Niswonger Children's Hospital,,,,Y,N,N,N,Y,Y- Teddy Bear logo at right of plate.,N,N
